Market Name,Contract,ExpiryDate,Put/Call,Strike Price,Open Interest ,Delta,Spot Price
ABG43454,ABG,20-Dec-18,P,133.76,-90996928,-0.08,Physical
ABG43454,ABG,20-Dec-18,P,139.71,-37232715,-0.15,Cash
ABG43454,ABG,20-Dec-18,P,141,-2115000,-0.17,Physical
ABG43454,ABG,20-Dec-18,P,143,-5720000,-0.21,Physical
ABG43454,ABG,20-Dec-18,P,143.34,-81001434,-0.21,Cash
ABG43454,ABG,20-Dec-18,P,145,-100412500,-0.24,Physical
ABG43544,ABG,20-Mar-19,P,129.88,-12598360,-0.17,Physical
ABG43544,ABG,20-Mar-19,P,135,-97483500,-0.22,Physical
ABG43544,ABG,20-Mar-19,P,140,-143542000,-0.26,Physical
ABG43544,ABG,20-Mar-19,P,155,-294670500,-0.42,Physical
ABG43544,ABG,20-Mar-19,C,158,161997400,0.55,Physical
ABG43544,ABG,20-Mar-19,C,175,278565000,0.36,Physical
ABG43544,ABG,20-Mar-19,C,180,246060000,0.31,Physical
ABG43544,ABG,20-Mar-19,C,190,56145000,0.22,Physical
ABG43544,ABG,20-Mar-19,C,195,367204500,0.18,Physical
ABG43636,ABG,20-Jun-19,P,129.88,-27002052,-0.22,Physical
ABG43636,ABG,20-Jun-19,P,130,-48386000,-0.22,Physical
ABG43636,ABG,20-Jun-19,C,146,54341200,0.64,Physical
ABG43636,ABG,20-Jun-19,C,162.04,27546800,0.47,Cash
ABG43636,ABG,20-Jun-19,C,165,61413000,0.44,Physical
ABG43636,ABG,20-Jun-19,C,197.69,33607300,0,Cash
AGL43454,AGL,20-Dec-18,P,266,-2394000,-0.1,Cash
AGL43454,AGL,20-Dec-18,P,280,-123256000,-0.21,Physical
AGL43454,AGL,20-Dec-18,P,300,-46530000,-0.44,Physical
AGL43454,AGL,20-Dec-18,P,300,-3000000,-0.44,Cash
AGL43454,AGL,20-Dec-18,C,342.53,3082770,0.11,Physical
AGL43454,AGL,20-Dec-18,C,357.57,3575700,0.05,Physical
AGL43454,AGL,20-Dec-18,C,360,3600000,0.04,Cash
AGL43544,AGL,20-Mar-19,P,280,-43624000,-0.32,Physical
ALSI43454,ALSI,20-Dec-18,C,40700,369,0.91,Cash
ALSI43454,ALSI,20-Dec-18,P,41000,-400,-0.1,Cash
ALSI43454,ALSI,20-Dec-18,C,42000,200,0.85,Cash
ALSI43454,ALSI,20-Dec-18,P,42000,-2000,-0.15,Cash
ALSI43454,ALSI,20-Dec-18,P,42300,-667,-0.17,Cash
ALSI43454,ALSI,20-Dec-18,P,43000,-550,-0.23,Cash
ALSI43454,ALSI,20-Dec-18,P,43150,-100,-0.25,Cash
ALSI43454,ALSI,20-Dec-18,P,43800,-988,-0.31,Cash
ALSI43454,ALSI,20-Dec-18,P,44000,-1500,-0.34,Cash
ALSI43454,ALSI,20-Dec-18,P,45000,-2618,-0.47,Cash
ALSI43454,ALSI,20-Dec-18,P,45050,-667,-0.48,Cash
ALSI43454,ALSI,20-Dec-18,C,45350,1,0.48,Cash
ALSI43454,ALSI,20-Dec-18,P,45500,-1500,-0.55,Cash
ALSI43454,ALSI,20-Dec-18,C,46000,1050,0.38,Cash
ALSI43454,ALSI,20-Dec-18,P,46000,-3000,-0.62,Cash
ALSI43454,ALSI,20-Dec-18,P,46300,-475,-0.66,Cash
ALSI43454,ALSI,20-Dec-18,P,46450,-560,-0.68,Cash
ALSI43454,ALSI,20-Dec-18,P,46500,-1000,-0.69,Cash
ALSI43454,ALSI,20-Dec-18,P,46600,-800,-0.7,Cash
ALSI43454,ALSI,20-Dec-18,P,46900,-200,-0.74,Cash
ALSI43454,ALSI,20-Dec-18,C,47000,1000,0.25,Cash
ALSI43454,ALSI,20-Dec-18,P,47000,-4095,-0.75,Cash
ALSI43454,ALSI,20-Dec-18,P,47500,-356,-0.81,Cash
ALSI43454,ALSI,20-Dec-18,C,47800,10,0.16,Cash
ALSI43454,ALSI,20-Dec-18,C,47900,300,0.15,Cash
ALSI43454,ALSI,20-Dec-18,P,47900,-599,-0.85,Cash
ALSI43454,ALSI,20-Dec-18,C,48000,4500,0.14,Cash
ALSI43454,ALSI,20-Dec-18,P,48000,-4400,-0.86,Cash
ALSI43454,ALSI,20-Dec-18,P,48200,-100,-0.88,Cash
ALSI43454,ALSI,20-Dec-18,C,48350,667,0.11,Cash
ALSI43454,ALSI,20-Dec-18,P,48500,-3870,-0.9,Cash
ALSI43454,ALSI,20-Dec-18,P,48700,-1077,-0.91,Cash
ALSI43454,ALSI,20-Dec-18,P,48950,-640,-0.93,Cash
ALSI43454,ALSI,20-Dec-18,C,49000,1145,0.07,Cash
ALSI43454,ALSI,20-Dec-18,P,49000,-5115,-0.93,Cash
ALSI43454,ALSI,20-Dec-18,P,49200,-560,-0.94,Cash
ALSI43454,ALSI,20-Dec-18,P,49250,-32,-0.95,Cash
ALSI43454,ALSI,20-Dec-18,P,49600,-400,-0.96,Cash
ALSI43454,ALSI,20-Dec-18,P,49700,-34,-0.96,Cash
ALSI43454,ALSI,20-Dec-18,P,49850,-844,-0.97,Cash
ALSI43454,ALSI,20-Dec-18,C,50000,5000,0.03,Cash
ALSI43454,ALSI,20-Dec-18,P,50000,-7005,-0.97,Cash
ALSI43454,ALSI,20-Dec-18,P,50250,-915,-0.97,Cash
ALSI43454,ALSI,20-Dec-18,C,50500,500,0.02,Cash
ALSI43454,ALSI,20-Dec-18,P,50500,-2987,-0.98,Cash
ALSI43454,ALSI,20-Dec-18,C,51000,8000,0.01,Cash
ALSI43454,ALSI,20-Dec-18,P,51000,-8219,-0.99,Cash
ALSI43454,ALSI,20-Dec-18,P,51150,-300,-0.99,Cash
ALSI43454,ALSI,20-Dec-18,C,51450,915,0.01,Cash
ALSI43454,ALSI,20-Dec-18,C,51500,5900,0.01,Cash
ALSI43454,ALSI,20-Dec-18,C,51800,48,0.01,Cash
ALSI43454,ALSI,20-Dec-18,P,51800,-943,-0.99,Cash
ALSI43454,ALSI,20-Dec-18,C,51900,200,0.01,Cash
ALSI43454,ALSI,20-Dec-18,C,52000,4010,0.01,Cash
ALSI43454,ALSI,20-Dec-18,P,52000,-4095,-0.99,Cash
ALSI43454,ALSI,20-Dec-18,C,52700,40,0,Cash
ALSI43454,ALSI,20-Dec-18,P,52700,-582,-1,Cash
ALSI43454,ALSI,20-Dec-18,C,53000,4010,0,Cash
ALSI43454,ALSI,20-Dec-18,P,53000,-1000,-1,Cash
ALSI43454,ALSI,20-Dec-18,C,53200,560,0,Cash
ALSI43454,ALSI,20-Dec-18,P,53200,-599,-1,Cash
ALSI43454,ALSI,20-Dec-18,C,53350,16,0,Cash
ALSI43454,ALSI,20-Dec-18,C,54000,8500,0,Cash
ALSI43454,ALSI,20-Dec-18,P,54000,-2550,-1,Cash
ALSI43454,ALSI,20-Dec-18,C,55000,6500,0,Cash
ALSI43454,ALSI,20-Dec-18,C,55850,80,0,Cash
ALSI43454,ALSI,20-Dec-18,C,56000,500,0,Cash
ALSI43454,ALSI,20-Dec-18,C,56250,475,0,Cash
ALSI43454,ALSI,20-Dec-18,C,56500,800,0,Cash
ALSI43454,ALSI,20-Dec-18,C,56850,640,0,Cash
ALSI43454,ALSI,20-Dec-18,C,57000,500,0,Cash
ALSI43454,ALSI,20-Dec-18,C,57150,100,0,Cash
ALSI43454,ALSI,20-Dec-18,C,57300,2000,0,Cash
ALSI43454,ALSI,20-Dec-18,C,57400,330,0,Cash
ALSI43454,ALSI,20-Dec-18,C,57450,236,0,Cash
ALSI43544,ALSI,20-Mar-19,P,40000,-200,-0.17,Cash
ALSI43544,ALSI,20-Mar-19,P,41400,-46,-0.22,Cash
ALSI43544,ALSI,20-Mar-19,P,42000,-2500,-0.25,Cash
ALSI43544,ALSI,20-Mar-19,P,43000,-2200,-0.3,Cash
ALSI43544,ALSI,20-Mar-19,P,44000,-2000,-0.37,Cash
ALSI43544,ALSI,20-Mar-19,P,44200,-2000,-0.38,Cash
ALSI43544,ALSI,20-Mar-19,P,44500,-158,-0.4,Cash
ALSI43544,ALSI,20-Mar-19,P,44800,-369,-0.42,Cash
ALSI43544,ALSI,20-Mar-19,C,45000,3716,0.57,Cash
ALSI43544,ALSI,20-Mar-19,P,45000,-8155,-0.43,Cash
ALSI43544,ALSI,20-Mar-19,P,45500,-60,-0.47,Cash
ALSI43544,ALSI,20-Mar-19,C,46000,1350,0.49,Cash
ALSI43544,ALSI,20-Mar-19,P,46000,-2500,-0.51,Cash
ALSI43544,ALSI,20-Mar-19,P,46500,-3000,-0.54,Cash
ALSI43544,ALSI,20-Mar-19,P,46600,-2000,-0.55,Cash
ALSI43544,ALSI,20-Mar-19,C,47000,3330,0.42,Cash
ALSI43544,ALSI,20-Mar-19,P,47000,-1000,-0.58,Cash
ALSI43544,ALSI,20-Mar-19,C,48000,3201,0.34,Cash
ALSI43544,ALSI,20-Mar-19,P,48000,-2525,-0.66,Cash
ALSI43544,ALSI,20-Mar-19,C,49000,5216,0.27,Cash
